lat,lon,fuel_price
51.1463364,71.4730063,261
51.1422788,71.4622739,311
51.1528527,71.4370096,344
51.1558138,71.4815003,265
51.1746699,71.4822022,338
51.1588693,71.5212132,344
51.1573944,71.5251112,313
51.1564923,71.5271202,348
51.1458303,71.459293,296
51.1361662,71.5432694,321
51.1499844,71.4830984,260
51.1640503,71.4723921,262
51.1634363,71.4703348,282
51.1885676,71.4512304,329
51.2020819,71.3054507,280
51.1824447,71.3952953,290
51.1901857,71.4209532,341
51.06848,71.3940424,350
51.0670948,71.396009,320
51.22039,71.3220458,260
51.1973904,71.4734977,332
51.1996796,71.4779875,288
51.2265903,71.3923027,273
51.2267387,71.4001059,324
51.2071981,71.4941951,315
51.213582,71.5124249,294
51.221506,71.5256484,301
51.0983336,71.4130919,278
51.1937126,71.4078808,307
51.2005264,71.4833371,274
51.1458924,71.4610006,280
51.1934594,71.3226696,296
51.0431094,71.4771294,336
51.1206546,71.4214191,317
51.1460234,71.3742578,296
51.176091,71.4871171,278
51.1475175,71.5024272,326
51.1914089,71.3713709,315
51.1373106,71.4674022,281
51.2039013,71.3806909,336
51.1807653,71.374115,326
51.1817734,71.37629,300
51.1727653,71.3785669,326
51.1673523,71.3937393,330
51.1491663,71.3595705,275
51.1527854,71.4488366,320
51.1574993,71.4453524,270
51.1566263,71.4507705,285
51.1734609,71.4410394,295
51.1731852,71.4510253,279
51.1745927,71.4027429,299
51.1749744,71.3996369,294
51.1761128,71.3976333,285
51.1840791,71.3797305,318
51.2006499,71.3862741,269
51.2040937,71.3802691,293
51.1817923,71.3755228,336
51.1955878,71.4332476,324
51.2025678,71.487093,286
51.1890892,71.4558533,302
51.2175966,71.3814998,330
51.2139155,71.3988724,315
51.2043845,71.4922079,295
51.1318381,71.3082191,274
51.1505916,71.4576571,276
51.1816297,71.4916259,349
51.1804695,71.4892709,330
51.1798878,71.4884502,280
51.179264,71.4900917,309
51.166939,71.4773458,283
51.1639771,71.4711821,315
51.1697982,71.492039,295
51.1149074,71.4166662,266
51.1875342,71.4519131,348
51.1277411,71.4847326,272
51.1458332,71.4223498,287
51.1782097,71.385051,297
51.0651029,71.3927463,326
51.1484648,71.4757848,271
51.1656709,71.4750203,305
51.1658408,71.4751679,345
51.1902004,71.4605927,297
51.1880083,71.4528868,275
51.1837263,71.4518058,293
51.1611362,71.4413157,288
51.1776682,71.3433427,335
51.1268944,71.3975823,288
51.1792572,71.379008,347
51.1751224,71.3822857,320
51.0736953,71.3887095,299
51.1015952,71.3941008,300
51.1454664,71.5304133,268
51.1573193,71.4884877,340
51.1535106,71.5088779,307
51.1523682,71.4738938,338
51.1781424,71.4572051,293
51.2157939,71.5168709,339
51.1807587,71.4605579,343
51.232481,71.3848686,279
51.1983981,71.4779815,274
51.1756773,71.47645,276
51.1581251,71.5230507,303
51.1357682,71.5247136,350
51.1933374,71.4005398,317
51.1361132,71.3155335,299
51.037143,71.4522631,350
51.1015581,71.4318931,273
51.2026283,71.4987767,335
51.0616607,71.4159393,350
51.0612562,71.4129835,294
51.1590268,71.3712215,289
51.1548447,71.3724983,275
51.1460655,71.37429,263
51.0684537,71.3937791,296
51.147428,71.502317,350
51.1793,71.48993,341
51.1565035,71.5271625,294
51.161488,71.409256,294
51.1663906,71.464147,339
51.215861,71.5168762,267
51.111555,71.408633,310
51.061715,71.408139,272
51.0685496,71.3940525,331
51.120213,71.4988196,285
51.2159837,71.5166623,279
51.2021511,71.3055557,305
51.0611449,71.413418,299
51.1155,71.530528,328
51.2138096,71.5123218,339
51.0050769,71.3809151,330
51.1723443,71.3748104,264
51.1797078,71.3796544,349
51.119917,71.358917,293
51.1722619,71.3745286,280
51.1569545,71.4986279,307
51.1588228,71.4910599,297
51.190905,71.4607401,318
51.1865734,71.4480126,278
51.1871222,71.4472083,287
51.1989355,71.4756311,278
51.2461162,71.3791976,323
51.1303987,71.493661,298
51.1726457,71.4262751,266
